filename    filesize    num_reads   time
PC_V4G_Plate4_E9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  116M    2686335
AB_V3S_Plate3_C2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  117M    2693189
KE_V2L_Plate3_B11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 119M    3082375
SC_V8B_Plate2_E5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  120M    3000416
KE_V1B_Plate3_H4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  122M    2682783
KE_V6S_Plate2_G2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  123M    2827168
DN_V2L_Plate3_C1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  126M    3024796
DS_V4B_Plate2_C12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 127M    3160366
TV_V5S_Plate2_F1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  129M    3326216
SC_V1S_Plate3_G11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 130M    2675696
SC_V9B_Plate4_H2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  134M    3518537
TV_V2B_Plate2_C4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  136M    2991269
KE_V2S_Plate3_G7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  137M    2748907
KE_V10L_Plate3_B8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 137M    3452315
AB_V3G_Plate4_C2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  141M    3314529
TH_T1_Plate4_B6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz   143M    3183261
SC_V9L_Plate1_G8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  144M    3765064
KE_V5L_Plate4_C3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  145M    3556655
WH_V3G_Plate1_F8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  146M    3327922
BH_HORN_Plate2_F3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 150M    3310919
TV_V1L_Plate4_G4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  152M    3798946
SC_V5S_Plate3_E3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  155M    3115225
CH_V3L_Plate1_F1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  156M    3958931
SC_V6S_Plate2_G5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  158M    3221308
DN_V4B_Plate3_H7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  158M    4073671
PC_V4S_Plate3_D8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  159M    3635003
SC_V6L_Plate3_E6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  169M    3373683
KE_V1B_Plate2_H4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  175M    3616234
PC_V5L_Plate2_A3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  176M    3849970
CB_V2B_Plate3_A8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  176M    4424382
SC_V4G_Plate2_G8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  177M    4396296
BH_V5L_Plate1_H11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 177M    4635457
AB_V3S_Plate2_C2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  180M    3958577
CB_V4L_Plate4_H3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  183M    4793584
BK_V5G_Plate3_F9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  185M    3687398
SC_V10G_Plate2_E4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 191M    3919372
WH_V1S_Plate3_G6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  191M    3817893
BH_V2G_Plate1_D12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 191M    4265389
DN_V5B_Plate3_G10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 193M    3855624
CB_V5L_Plate4_G11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 193M    4958358
PC_V4L_Plate4_G9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  197M    4960527
KE_VT2_Plate1_A3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  201M    4028149
DN_V4S_Plate3_F11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 207M    5236720
TV_V4L_Plate4_E3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  207M    5404612
KE_V6L_Plate4_C4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  208M    5020425
DN_V3L_Plate2_C7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  214M    4401446
KE_V5B_Plate2_C11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 218M    4459973
KE_V6G_Plate1_D10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 219M    4923496
DN_V4B_Plate2_H7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  219M    4389788
PC_V5G_Plate1_H7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  224M    5066482
BK_V1S_Plate3_D10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 231M    5602181
BH_V1S_Plate3_A5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  232M    4655077
PC_V1S_Plate2_A12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 233M    4797332
EY_V2G_Plate1_D9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  234M    5272845
KE_V9G_Plate2_A10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 241M    4834102
EY_V4G_Plate3_F4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  242M    4798349
AB_V5L_Plate1_D8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  253M    6632979
WH_V4B_Plate2_D3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  257M    5268331
SC_V3L_Plate1_C10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 261M    6674851
KE_V4S_Plate2_H11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 267M    5409104
